panel,sweep,level,species,point_index,x,value
b,temperature_melt,surface,CO2,3,2300.200515538192,-2.947192152827302
b,temperature_melt,surface,CO2,4,2399.9236125137204,-3.1794350435042418
b,temperature_melt,surface,CO2,5,2500.1432248257074,-3.3937364184071974
b,temperature_melt,surface,CO2,6,2599.866322778988,-3.5900962877428944
b,temperature_melt,surface,CO2,7,2700.085935090975,-3.7738970970574757
b,temperature_melt,surface,CO2,8,2799.8090330442556,-3.9423479446910665
b,temperature_melt,surface,CO2,9,2900.028645356242,-4.098040389840024
b,temperature_melt,surface,CO2,10,3000.248257668229,-4.243366628823733
b,temperature_melt,surface,CO2,11,3099.9713546437574,-4.378725356775957
b,temperature_melt,surface,CO2,12,3200.1909669557444,-4.506309432655927
b,temperature_melt,surface,CO2,13,3299.952257869963,-4.626118856463642
b,temperature_melt,surface,CO2,14,3400.17187018195,-4.738352970662621
b,temperature_melt,surface,CO2,15,3499.8949671574783,-4.843011785459591
b,temperature_melt,surface,CO2,16,3600.114579469465,-4.942487492070573
b,temperature_melt,surface,CO2,17,3699.8376774227454,-5.034387899279546
b,temperature_melt,surface,CO2,18,3800.0572897347324,-5.123696752395524
b,temperature_melt,surface,CO2,19,3899.7803876880134,-5.208021849995761
b,temperature_melt,surface,CO2,20,4000.0,-5.286964496946492
b,temperature_melt,surface,CH4,0,2000.0,-4.462851106809312
b,temperature_melt,surface,CH4,1,2100.2196123119866,-3.8428722380800835
b,temperature_melt,surface,CH4,2,2199.9809032262056,-3.3325359345602044
b,temperature_melt,surface,CH4,3,2300.200515538192,-2.9344337452393052
b,temperature_melt,surface,CH4,4,2399.9236125137204,-2.6358072727361135
b,temperature_melt,surface,CH4,5,2500.1432248257074,-2.424097441719427
b,temperature_melt,surface,CH4,6,2599.866322778988,-2.275980306179205
b,temperature_melt,surface,CH4,7,2700.085935090975,-2.1715208440524805
